ID,First Name,Last Name,Phone,LTV
8292,Daniel,Garcia,507-312-5844,"$49,699.77 "
2637,Oliver,Griffin,721-704-6434,"$20,391.00 "
5403,Elijah,Griffin,749-765-4950,"$13,889.87 "
8350,Gabriel,Russell,874-802-4369,"$5,449.65 "
2434,Andrew,Thomas,856-675-5033,"$10,586.35 "
2217,Mia,Powell,645-644-9772,"$18,001.58 "
1135,Sofia,Thomas,nan,nan
4628,Emma,Brown,878-494-8953,"$9,030.33 "
7562,Elizabeth,Bailey,668-480-8987,"$5,225.22 "
9122,Evelyn,Moore,413-483-2006,"$35,371.58 "
7409,Olivia,Morales,518-953-8154,"$2,660.09 "
3922,Benjamin,Smith,821-718-6210,$488.75 
1129,Noah,Parker,818-830-3242,$551.61 
7687,Avery,Griffin,164-774-3876,"$2,005.97 "
5061,Michael,Watson,233-842-9555,"$2,059.45 "
2396,Benjamin,Hall,702-493-6243,"$10,978.07 "
3687,Emily,Griffin,520-360-7046,"$1,740.52 "
6833,Charlotte,Bryant,690-682-8735,"$1,683.86 "
1109,Elijah,Perry,537-119-4498,"$1,680.64 "
6251,Sophia,Bailey,846-512-5905,"$11,425.81 "
4440,Liam,Johnson,765-459-7558,"$5,469.84 "
9092,Aiden,Simmons,593-704-5158,$748.66 
5490,Madison,Griffin,524-270-5671,"$17,102.28 "
3033,Henry,Russell,111-574-8474,"$10,390.39 "
2400,Emma,Bryant,743-754-6655,"$18,891.26 "
1854,Mason,Young,525-922-6046,"$7,270.39 "
4580,Avery,Bailey,389-228-7481,"$36,192.33 "
3922,Victoria,Smith,nan,"$4,594.44 "
9864,Joseph,Perry,141-915-1427,"$4,035.17 "
9719,Mia,Thomas,800-639-3964,"$3,537.26 "
5637,Chloe,Miller,224-816-6593,$930.53 
7784,Gabriel,Brown,725-849-2639,"$28,858.37 "
7269,Elizabeth,Bailey,757-931-2873,"$14,023.43 "
6705,Evelyn,Parker,563-304-8915,$223.86 
9277,Oliver,Clark,398-618-4734,"$4,552.19 "
3557,Lucas,Powell,542-721-1764,"$11,142.14 "
7526,Michael,Miller,521-118-8555,"$2,672.95 "
7436,Olivia,Morales,870-649-7677,"$6,605.90 "
8170,Elizabeth,Griffin,361-899-1129,"$2,588.28 "
2716,Sofia,Smith,847-119-7055,"$4,333.62 "
3941,Harper,Taylor,466-951-4844,"$6,162.73 "
8175,Elijah,Taylor,577-931-8142,"$8,405.38 "
6531,Joseph,Perez,491-419-6205,"$2,643.57 "
4820,Henry,Diaz,595-178-2151,nan
5308,David,Russell,665-984-9223,"$13,592.64 "
6952,Isabella,Moore,730-828-9264,"$5,039.80 "
8313,Gabriel,Simmons,825-219-2881,"$8,671.17 "
7861,Evelyn,Jones,272-833-2881,"$3,918.24 "
5834,Logan,Young,481-716-4306,?
2824,James,Perez,515-976-4631,"$14,181.25 "
9478,Noah,Lewis,298-111-7118,"$5,357.61 "
1529,Andrew,Mitchell,617-761-3552,"$26,345.71 "
7770,Samuel,Harris,677-146-7144,"$18,051.04 "
2229,Emma,Simmons,613-834-3513,"$4,538.32 "
5039,Ava,Brown,170-576-6081,$422.52 
2263,Victoria,Smith,971-297-2895,"$5,829.51 "
9232,Lucas,Perry,534-290-4258,"$7,243.49 "
8922,Joseph,Mitchell,nan,"$3,721.42 "
9088,Noah,Wilson,950-177-2278,"$2,073.34 "
5872,David,Wallace,291-575-5549,$738.60 
6011,Charlotte,Taylor,801-925-4301,$128.32 
6075,Noah,Taylor,428-227-2000,"$13,149.31 "
2960,Chloe,Walker,228-491-9301,"$30,786.14 "
6107,Evelyn,Scott,956-348-5636,"$19,921.13 "
3339,Aiden,Foster,691-432-2013,"$9,759.99 "
8031,Grace,Brown,199-896-2460,"$18,467.09 "
7665,Amelia,Simmons,308-316-5573,"$5,060.11 "
4434,Mia,Reyes,327-269-5346,"$3,802.29 "
4906,Liam,Parker,876-467-5966,"$2,687.59 "
8418,Grace,Scott,453-677-9548,"$1,671.18 "
9775,Harper,Diaz,270-974-7064,"$21,505.70 "
6736,Charlotte,Martinez,385-739-7441,"$3,975.63 "
4701,Noah,Bryant,681-493-6121,"$11,174.48 "
8714,Avery,Foster,952-298-9230,"$10,414.00 "
3915,Elizabeth,Bailey,829-311-5433,"$5,991.06 "
4443,Alexander,Hernandez,328-624-8238,"$4,987.52 "
1668,Henry,Johnson,467-337-1893,"$2,215.56 "
4725,Isabella,Perez,661-771-5439,nan
7222,Noah,Perry,490-352-4550,"$1,586.48 "
2068,Ava,Simmons,482-306-4040,"$2,047.92 "
4403,Sophia,Young,880-162-5094,"$2,949.35 "
6157,Madison,Perez,145-149-7975,"$5,323.59 "
4850,Amelia,Morales,?,"$3,993.40 "
6727,Mia,Simmons,684-669-2421,"$16,052.68 "
5387,Alexander,Walker,350-663-4887,"$3,456.57 "
8553,Elizabeth,Smith,612-853-5655,"$3,420.59 "
7319,James,Davis,563-572-9207,"$13,939.02 "
2789,Olivia,Moore,487-484-9943,"$2,007.31 "
1925,Charlotte,Hernandez,507-455-1404,"$2,165.93 "
3644,Elizabeth,Russell,482-581-5956,"$7,753.19 "
9360,Gabriel,Foster,916-308-9243,"$57,952.11 "
5721,Amelia,Jones,896-586-5848,"$29,922.19 "
7578,Joseph,Perez,740-728-6142,"$23,661.05 "
8407,James,Clark,205-736-2901,"$9,093.35 "
3081,Abigail,Parker,821-549-2496,"$12,696.74 "
1225,Elijah,Foster,347-748-8821,"$3,124.51 "
8246,Emma,Lewis,687-897-6731,"$12,484.46 "
6741,Sophia,Davis,703-505-3487,$454.56 
3184,Emma,Miller,422-807-4293,"$6,817.05 "
2496,James,Garcia,652-160-5704,"$24,341.19 "
6995,Aiden,Cox,466-952-7636,"$2,958.67 "
5980,Gabriel,Taylor,?,"$6,973.82 "
2399,Benjamin,Thomas,113-514-8383,"$3,207.98 "
8725,Sofia,Perry,487-486-2124,"$9,651.94 "
3827,Victoria,Bailey,202-808-5024,"$8,657.11 "
9061,Samuel,Johnson,691-170-6368,"$16,664.39 "
6737,Oliver,Scott,142-497-5491,"$21,869.99 "
3622,Emma,Scott,621-612-9801,"$7,313.12 "
3104,Madison,Garcia,nan,"$7,980.02 "
8123,Grace,Sanders,983-135-8335,"$8,412.17 "
6513,Amelia,Taylor,474-143-8412,"$7,971.83 "
6502,Sophia,Taylor,988-551-4762,"$10,713.09 "
3444,Charlotte,Lewis,214-769-6963,"$10,836.96 "
7848,James,Ramirez,529-706-8477,"$1,030.56 "
2348,Sofia,Moore,632-391-4247,"$7,072.08 "
4213,Aiden,Scott,275-672-7567,"$13,220.56 "
9544,Avery,Harris,244-910-1753,"$1,367.31 "
1539,Benjamin,Harris,279-401-9983,"$2,618.05 "
3507,David,Griffin,661-844-2882,"$36,865.39 "
7063,Noah,Moore,974-681-2254,$383.65 
1432,David,Griffin,845-243-1712,$612.72 
9808,Madison,Ramirez,328-675-1053,$560.27 
3104,Amelia,Perez,326-418-8652,$556.70 
1627,Mia,Wilson,122-868-7883,"$25,738.19 "
6146,Elijah,Harris,104-943-1629,"$11,096.77 "
9694,Madison,Walker,167-884-8438,"$11,687.33 "
5947,Madison,Sanders,460-211-9985,"$1,987.02 "
8693,Liam,Taylor,198-176-1235,"$6,870.90 "
2922,Oliver,Griffin,908-189-1672,"$15,625.13 "
1333,Olivia,Perez,447-371-5299,nan
4230,Henry,Perry,516-662-1771,"$4,060.94 "
2776,Oliver,Powell,262-868-9099,"$4,670.22 "
2511,Gabriel,Young,651-352-4500,"$7,710.41 "
9518,Lucas,Sanders,691-706-6596,"$4,772.73 "
9207,Matthew,Foster,901-487-8994,"$4,758.19 "
4564,Noah,Powell,400-363-7396,"$17,145.57 "
6956,Isabella,Russell,402-341-4726,"$6,387.18 "
9554,Olivia,Powell,528-196-4282,"$9,911.24 "
6464,Avery,Miller,139-148-5461,"$12,116.77 "
8611,Abigail,Reyes,157-607-8452,"$1,551.50 "
7263,Aiden,Perry,639-846-9763,$238.60 
5501,Samuel,Brown,790-961-2595,"$3,513.17 "
1472,Victoria,Griffin,692-876-3595,$584.19 
5638,Aiden,Powell,502-755-5688,"$1,834.13 "
7653,Ava,Brown,147-339-5643,"$26,682.56 "
3026,Amelia,Watson,698-345-1442,"$25,694.69 "
1379,Lucas,Griffin,531-870-7656,"$6,318.52 "
9068,Emily,Moore,233-739-8159,"$1,334.39 "
1131,Mason,Clark,915-976-4535,"$1,829.80 "
6848,James,Smith,703-335-6894,"$1,432.11 "
7440,Amelia,Scott,338-984-7360,"$3,564.16 "
9111,Elizabeth,Foster,480-344-3726,"$37,163.01 "
9970,Avery,Johnson,111-301-8326,"$12,595.53 "
6334,Emma,Jones,nan,"$8,951.10 "
8137,William,Hall,?,"$15,272.52 "
4299,Mia,Powell,907-153-9439,"$4,117.59 "
9285,William,Moore,549-802-3514,"$6,756.48 "
1901,Liam,Perry,519-351-9722,"$17,263.86 "
7155,Liam,Johnson,312-900-7443,"$7,704.31 "
9450,Charlotte,Brown,?,"$83,826.44 "
6583,Samuel,Griffin,352-623-1654,"$2,033.09 "
5297,Isabella,Harris,734-972-6706,"$22,688.01 "
8090,William,Martinez,548-491-2793,"$18,244.91 "
6656,Amelia,Griffin,257-623-2970,"$10,279.01 "
9390,Emma,Perez,567-617-8443,"$8,086.20 "
3646,Olivia,Reyes,211-155-3226,$401.86 
4680,Oliver,Taylor,807-885-2139,"$35,796.73 "
6926,Alexander,Thomas,811-317-2413,$91.68 
3791,Amelia,Perry,695-317-4911,"$34,112.85 "
4069,Gabriel,Clark,534-333-3683,"$22,506.69 "
9823,Sofia,Foster,125-722-2563,"$3,854.93 "
8224,Isabella,Harris,100-260-7115,"$6,988.09 "
2813,Oliver,Lewis,805-853-8982,"$1,098.76 "
4629,Samuel,Sanders,169-437-3916,"$2,123.88 "
9453,Aiden,Mitchell,565-294-5957,"$27,710.38 "
8907,Lucas,Clark,974-786-5679,"$23,251.61 "
6119,Noah,Simmons,598-978-7094,"$20,019.85 "
6531,Ava,Martinez,853-716-9058,"$1,102.89 "
5670,Noah,Young,956-541-4865,"$3,217.20 "
2312,Mia,Martinez,987-264-5380,"$5,361.71 "
4813,Mia,Scott,795-166-9313,"$12,686.88 "
6057,Mason,Johnson,605-908-2291,"$10,319.73 "
4434,Gabriel,Clark,939-141-1698,"$21,730.63 "
8814,Victoria,Thomas,472-134-1769,"$22,783.08 "
2056,Logan,Hernandez,nan,"$4,267.79 "
9117,David,Watson,708-325-7052,"$8,336.96 "
4854,Madison,Wallace,488-178-1325,"$2,866.59 "
2407,Logan,Wallace,103-678-2163,nan
8945,Matthew,Jones,252-826-3158,"$15,898.15 "
5648,Logan,Bailey,965-783-6424,"$12,343.43 "
7085,Gabriel,Walker,544-952-7944,"$7,424.38 "
3987,Olivia,Davis,640-296-3698,"$6,083.23 "
8995,Emily,Scott,602-506-1565,"$17,389.60 "
6218,Olivia,Wilson,569-826-9752,"$46,596.34 "
6060,Elizabeth,Cox,844-888-8377,"$8,250.18 "
5104,Harper,Mitchell,977-344-5311,"$7,592.97 "
2935,David,Bryant,300-102-6085,"$10,187.73 "
9175,Oliver,Perez,666-281-8737,"$18,459.25 "
1060,Alexander,Diaz,702-611-5928,"$3,197.42 "
3674,Alexander,Sanders,nan,"$16,515.50 "
5302,Benjamin,Perez,429-268-3902,"$6,391.64 "
9645,Alexander,Reyes,582-677-3085,"$4,593.97 "
5622,Isabella,Brown,884-442-2258,"$2,438.75 "
3374,Ava,Griffin,110-131-7460,"$13,687.12 "
2684,Daniel,Foster,437-350-4129,"$2,915.46 "
2142,Henry,Taylor,833-365-5666,"$8,021.12 "
8279,William,Lewis,606-500-6114,"$12,157.97 "
1372,Emma,Powell,463-743-1743,"$20,690.02 "
2169,Sofia,Moore,586-573-4159,"$8,370.23 "
1818,Emily,Simmons,944-803-6317,"$17,396.29 "
2235,Evelyn,Young,367-641-1275,"$2,212.90 "
1313,William,Bailey,445-228-2096,"$16,307.62 "
5520,Elijah,Lewis,194-233-8037,"$5,683.81 "
7019,Joseph,Simmons,499-730-5005,"$17,019.84 "
3044,Amelia,Perez,387-964-5222,"$8,587.08 "
6387,Abigail,Alexander,?,$48.64 
9933,Liam,Hernandez,828-386-9507,"$9,394.94 "
3204,Mia,Garcia,983-487-3813,"$13,397.98 "
4932,Isabella,Martinez,502-978-7737,"$25,791.89 "
3562,Henry,Martinez,674-710-1046,$192.96 
2108,Samuel,Lewis,367-859-7824,"$7,889.31 "
4973,Gabriel,Alexander,550-974-3460,"$4,220.40 "
7908,Joseph,Morales,904-398-4419,"$3,816.54 "
7755,Ava,Parker,842-445-2611,"$20,224.65 "
4443,David,Wilson,989-584-6713,"$9,296.01 "
5373,Charlotte,Simmons,453-745-8726,"$3,321.70 "
4748,Chloe,Alexander,898-698-4731,"$9,640.98 "
8036,Henry,Clark,308-502-6715,"$1,895.78 "
7277,David,Perez,673-606-9024,"$15,233.31 "
6576,Harper,Moore,720-436-2249,"$12,053.31 "
3427,Benjamin,Ramirez,863-248-2653,"$12,415.85 "
3764,Samuel,Brown,690-845-5439,"$11,715.59 "
3241,Andrew,Hall,493-631-7330,"$7,030.61 "
1202,Avery,Martinez,894-999-3236,"$9,611.33 "
5546,Chloe,Powell,342-568-4905,"$33,393.95 "
5312,Gabriel,Wallace,754-700-4314,"$3,014.21 "
5472,Ava,Simmons,495-468-8106,"$45,607.63 "
2494,David,Brown,717-670-1575,"$8,013.88 "
1426,Michael,Cox,731-653-8135,"$23,518.95 "
2727,Grace,Watson,316-159-1389,"$10,287.16 "
8445,Sophia,Mitchell,829-716-4434,"$19,541.70 "
7294,Elizabeth,Reyes,884-536-5826,$511.62 
9004,Victoria,Clark,223-164-7074,"$1,622.72 "
1888,Abigail,Scott,?,"$9,040.80 "
3635,Ava,Jones,491-156-4077,"$15,420.93 "
5830,Lucas,Wilson,206-329-7506,"$4,806.15 "
1792,Isabella,Harris,116-646-4694,"$8,176.05 "
5730,Madison,Sanders,418-855-8877,"$5,259.84 "
4462,Ava,Alexander,772-735-5156,"$2,726.63 "
8573,Emily,Lewis,899-620-5153,"$27,407.67 "
2403,Noah,Ramirez,352-942-2100,"$47,774.77 "
8268,Elizabeth,Mitchell,935-562-1403,"$4,323.28 "
3698,Joseph,Perez,676-713-8027,"$10,942.85 "
3670,Abigail,Davis,595-711-6564,"$3,170.26 "
7172,Chloe,Ramirez,739-573-5539,nan
6232,Olivia,Morales,267-656-6323,"$7,937.08 "
1110,Harper,Brown,819-307-8465,"$6,597.15 "
9176,Madison,Wallace,860-542-8364,"$9,495.80 "
8588,Matthew,Parker,579-100-3090,"$3,753.95 "
1892,Lucas,Martinez,790-971-4857,"$18,813.89 "
7437,Mason,Sanders,530-298-5541,"$3,622.51 "
4170,Charlotte,Young,484-520-2909,"$8,928.35 "
6885,Lucas,Cox,494-352-4925,"$25,108.23 "
9117,Alexander,Johnson,821-191-1674,"$26,694.11 "
5069,Victoria,Perry,201-294-5169,"$4,422.63 "
4637,Gabriel,Moore,nan,"$7,461.66 "
2747,Oliver,Alexander,nan,"$6,095.41 "
3539,Noah,Miller,265-580-7279,"$6,174.55 "
4469,Madison,Moore,762-917-3614,"$2,336.84 "
1588,Emily,Bryant,213-412-2751,"$6,016.86 "
2049,James,Thomas,943-877-7066,"$4,856.07 "
5899,Grace,Scott,326-379-7109,$946.21 
6592,Emma,Alexander,492-965-3390,"$2,919.04 "
3919,Isabella,Smith,718-426-8318,"$1,423.20 "
1508,Isabella,Powell,750-443-5553,"$15,069.74 "
2766,Daniel,Moore,786-780-5766,"$21,924.86 "
6805,Daniel,Reyes,607-906-8616,"$13,899.62 "
4377,Lucas,Garcia,161-976-7306,"$8,113.79 "
7822,Isabella,Harris,nan,"$3,038.87 "
8508,Michael,Cox,652-852-1248,"$9,241.99 "
9041,Harper,Bryant,532-887-3452,"$5,311.81 "
8894,Madison,Harris,871-249-8177,$718.64 
3187,Chloe,Ramirez,505-175-3559,"$27,858.45 "
7687,Lucas,Young,118-495-1884,"$20,850.76 "
4310,Charlotte,Taylor,?,"$4,071.14 "
7435,Samuel,Walker,103-605-4967,$529.03 
4437,Daniel,Wallace,607-692-8948,"$21,879.90 "
7077,William,Miller,403-786-8908,"$7,451.63 "
2960,Mia,Smith,337-231-6164,"$14,469.20 "
8094,Olivia,Brown,257-173-8854,"$13,954.25 "
6179,Joseph,Morales,904-240-3703,"$10,654.77 "
6199,Olivia,Perez,988-973-2576,"$2,178.09 "
5678,Michael,Griffin,508-666-8594,"$4,847.47 "
6919,Liam,Harris,675-689-5801,"$17,316.84 "
5543,Emma,Hall,566-515-6906,$901.23 
4452,Daniel,Brown,404-493-6759,"$8,279.17 "
6835,Emily,Taylor,384-871-5619,$907.24 
7391,Isabella,Bailey,474-968-5565,"$1,326.67 "
6927,Matthew,Moore,244-703-2661,"$29,639.99 "
8870,Matthew,Alexander,209-882-7213,"$8,861.36 "
7727,Mason,Taylor,932-549-4027,"$2,677.09 "
7342,James,Wilson,586-545-7320,"$10,902.52 "
5597,Elizabeth,Davis,645-996-7861,"$6,284.06 "
6731,Abigail,Simmons,876-817-3069,$757.56 
4719,Aiden,Thomas,157-746-5801,"$4,135.36 "
2625,Andrew,Griffin,832-971-3118,"$2,563.87 "
8717,Benjamin,Morales,535-724-4043,$374.17 
7116,Logan,Diaz,913-416-9892,"$20,733.75 "
9817,Charlotte,Reyes,?,"$2,645.52 "
4778,Amelia,Bailey,382-173-4704,"$10,526.73 "
8657,Lucas,Martinez,395-725-3125,"$20,585.63 "
1243,Emma,Powell,578-743-3579,"$2,910.54 "
4766,James,Brown,?,"$1,224.69 "
2655,Evelyn,Moore,nan,"$11,984.28 "
3595,Michael,Clark,584-219-5699,"$15,079.65 "
8880,Logan,Mitchell,475-584-4304,"$45,840.96 "
3907,Samuel,Hall,756-720-9723,"$8,417.81 "
2853,Gabriel,Hernandez,654-304-8266,"$18,200.91 "
7142,Mia,Garcia,153-104-5108,"$7,020.20 "
8639,Amelia,Watson,991-710-1772,$727.16 
9481,Emma,Taylor,362-943-1750,?
1806,Joseph,Perry,780-120-6492,"$11,899.56 "
5335,Henry,Martinez,177-216-2465,"$17,026.68 "
4073,Oliver,Jones,?,?
8201,Noah,Parker,817-238-5940,"$13,094.12 "
1734,Liam,Taylor,532-277-8571,"$27,085.91 "
6720,Amelia,Wallace,476-874-3885,"$4,218.94 "
4160,Harper,Diaz,828-269-7462,$259.31 
7337,James,Wilson,880-732-2948,"$11,535.60 "
9264,Oliver,Russell,524-453-8664,"$5,425.37 "
9639,Liam,Wallace,228-895-9636,?
9651,Lucas,Watson,145-248-9858,$569.03 
5204,Olivia,Garcia,105-315-3119,"$4,847.29 "
7054,Sofia,Foster,577-628-3792,"$6,049.59 "
6092,Abigail,Cox,371-107-2912,$407.67 
4600,William,Perez,759-534-4271,"$12,630.75 "
8737,Sofia,Perry,893-760-6172,"$4,757.67 "
3418,Sophia,Young,697-857-9023,"$3,653.71 "
1337,Sofia,Hernandez,651-664-3942,$646.54 
7849,Mason,Hall,550-924-3371,"$8,753.72 "
5549,Benjamin,Simmons,321-461-4553,"$7,282.62 "
5287,Amelia,Sanders,639-190-6713,$262.85 
5563,Andrew,Young,119-619-7538,"$24,386.88 "
2877,Elizabeth,Griffin,370-681-3089,"$7,591.47 "
7612,Olivia,Moore,272-247-6059,"$9,265.84 "
5770,Michael,Alexander,?,"$14,409.13 "
8883,Madison,Russell,nan,$61.61 
9972,Olivia,Simmons,318-660-8208,"$13,941.57 "
8917,Sofia,Reyes,339-496-4274,$495.76 
9077,Alexander,Jones,584-661-1380,$505.52 
4028,Henry,Alexander,265-287-5248,"$4,576.77 "
9980,Aiden,Walker,221-892-2236,"$4,766.26 "
9293,Evelyn,Davis,441-194-1339,"$7,233.70 "
9609,Harper,Watson,447-894-7241,"$19,745.06 "
8081,Noah,Wallace,nan,"$3,508.76 "
1560,Elijah,Young,925-765-1817,"$9,882.05 "
5263,Olivia,Jones,840-515-1661,"$16,336.96 "
6523,Charlotte,Perez,132-918-9734,"$1,567.88 "
7317,Abigail,Hernandez,301-445-9155,"$42,315.98 "
9760,Olivia,Mitchell,267-620-7136,nan
5518,Sophia,Scott,448-527-9200,"$17,058.66 "
3231,Isabella,Ramirez,567-708-9532,"$1,818.65 "
4940,Harper,Diaz,296-515-2652,nan
8764,Madison,Brown,nan,"$9,461.05 "
1746,Victoria,Foster,258-961-1671,"$20,745.55 "
3312,Madison,Wallace,921-853-2592,"$24,412.86 "
3720,Daniel,Sanders,297-714-5477,"$11,057.90 "
1796,Lucas,Garcia,917-855-2834,"$1,245.24 "
2003,Sofia,Davis,150-426-6414,$715.52 
5886,Aiden,Martinez,600-938-3050,"$10,059.12 "
3034,Benjamin,Morales,114-826-8393,"$1,301.34 "
3175,Gabriel,Wilson,?,"$4,563.01 "
5760,Benjamin,Moore,290-709-8940,"$9,174.77 "
3308,Emily,Harris,286-650-9140,"$3,494.40 "
1503,Alexander,Wallace,913-861-4249,"$9,253.97 "
8066,Sophia,Mitchell,144-529-5174,$835.26 
5341,Isabella,Thomas,336-331-2393,"$9,777.69 "
6783,Charlotte,Russell,?,"$3,897.08 "
7178,David,Ramirez,nan,"$9,347.61 "
1009,Victoria,Diaz,489-566-3682,nan
7483,Michael,Brown,nan,"$20,179.04 "
2418,Emma,Ramirez,122-423-6814,"$34,668.97 "
8827,Avery,Davis,561-926-6913,"$9,912.31 "
4938,Sophia,Harris,302-368-9414,$797.79 
2090,Elijah,Bryant,551-588-7815,"$4,034.09 "
8752,Joseph,Simmons,728-855-6282,"$4,831.24 "
1156,Isabella,Sanders,110-736-7849,"$30,313.80 "
4577,Henry,Russell,445-282-8150,"$2,156.63 "
1711,David,Perez,271-497-9284,"$10,650.14 "
2478,William,Martinez,800-528-3434,"$10,187.60 "
2516,Amelia,Diaz,975-796-4220,"$6,499.68 "
3841,James,Jones,113-243-8173,"$7,645.52 "
3883,Michael,Harris,104-458-6898,"$17,044.83 "
4410,Liam,Alexander,nan,"$1,444.03 "
4832,Ava,Bryant,283-841-1400,"$1,185.29 "
4252,Grace,Jones,486-107-4333,"$21,673.63 "
3840,Benjamin,Lewis,774-581-9884,"$8,881.08 "
5903,Aiden,Simmons,334-484-9739,"$3,390.17 "
7466,Liam,Simmons,555-773-5186,"$1,309.12 "
5110,Alexander,Parker,385-534-9138,"$11,979.62 "
4271,Lucas,Reyes,310-783-7788,"$22,925.93 "
6176,Sophia,Griffin,550-845-5719,"$7,376.51 "
3188,Olivia,Harris,704-670-7928,"$7,797.43 "
6673,Harper,Scott,750-704-7054,"$1,495.17 "
5882,Abigail,Russell,537-578-4145,"$25,441.75 "
2904,Mason,Griffin,nan,"$15,088.01 "
4733,Michael,Griffin,182-259-9170,"$46,013.91 "
2173,Gabriel,Clark,337-584-3316,"$12,261.87 "
5531,Chloe,Martinez,311-374-6492,"$12,210.62 "
5732,Emma,Simmons,648-561-2338,nan
4664,Elijah,Bryant,286-318-1515,"$14,774.16 "
2467,William,Perez,817-751-4193,"$5,690.17 "
1755,Joseph,Jones,253-692-9740,"$3,766.13 "
1640,James,Wilson,342-141-6349,"$8,629.23 "
2657,Matthew,Garcia,855-892-3185,"$3,147.03 "
8879,Samuel,Griffin,905-617-2807,"$6,199.05 "
1399,Matthew,Clark,801-269-9275,"$6,904.44 "
1671,Mason,Perry,474-402-9465,"$17,830.00 "
3972,Daniel,Wallace,972-747-1706,"$4,797.84 "
1028,James,Perry,?,"$1,692.75 "
6594,Chloe,Sanders,664-663-8432,"$5,540.84 "
8242,Amelia,Diaz,916-866-6162,"$8,180.01 "
4883,Abigail,Thomas,217-597-7511,$283.76 
8086,Sophia,Morales,377-458-4048,"$9,351.38 "
2351,Abigail,Hernandez,273-377-4503,"$15,502.55 "
8144,Olivia,Garcia,285-551-6760,"$8,826.79 "
1931,Noah,Miller,820-796-3952,"$5,741.16 "
5772,Harper,Lewis,261-918-9504,"$2,003.90 "
5329,Samuel,Griffin,115-290-1853,"$1,733.83 "
4846,Elijah,Thomas,750-295-5936,$102.36 
1668,Oliver,Miller,395-868-3329,"$5,996.62 "
7052,Sofia,Perez,891-848-9363,"$2,941.53 "
3382,Liam,Garcia,391-303-6241,"$2,418.85 "
1804,Liam,Hall,271-263-2907,"$9,706.08 "
6312,David,Smith,282-668-4719,$542.70 
4768,Liam,Russell,682-420-9907,nan
8122,Logan,Martinez,683-120-9054,"$4,470.37 "
4633,Oliver,Parker,903-627-2197,$912.98 
1174,Avery,Harris,616-146-5026,"$10,523.72 "
9149,David,Garcia,321-657-2310,"$8,427.45 "
7102,Emma,Scott,788-289-3813,"$1,444.11 "
5512,Ava,Hernandez,599-411-3324,"$4,200.41 "
2148,Samuel,Foster,762-523-7886,"$35,563.87 "
3876,Henry,Russell,842-513-9579,$36.13 
5511,Noah,Cox,430-805-2176,"$13,512.17 "
8915,Charlotte,Brown,523-378-4081,$996.33 
2813,James,Scott,993-401-8057,"$15,891.76 "
4788,Liam,Davis,880-161-9543,"$15,498.20 "
7934,Charlotte,Walker,?,"$9,715.63 "
4139,Noah,Simmons,239-218-2771,"$2,380.60 "
5457,Samuel,Taylor,596-430-9511,"$15,107.64 "
8112,Elijah,Scott,178-133-3223,"$24,069.16 "
2454,Sofia,Moore,676-793-4138,"$19,243.74 "
